disease_id,disease_name,primary_specialty,secondary_specialties,matched_organ_system_scores,primary_specialty_score,total_matched_phenotype_scores,routing_confidence,clinical_genetics_referral,mapping_method,source_hpoa_version,hpo_annotation_source_url,specialty_taxonomy_reference_url,clinical_review_required
OMIM:619950,Tessadori-van Haaften neurodevelopmental syndrome 3,Neurology,Dermatology; Orthopedics; Clinical Genetics,nervous_system:28; integument:16; skeletal_system:11; eye:7; immune_connective_tissue:4; ear:4; digestive_system:3; development_and_growth:3; endocrine_metabolic_system:2; genitourinary_system:2; cardiovascular_system:1; neoplasm:1; respiratory_system:1,28,83,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:621184,Tayoun-Maawali syndrome,Neurology,Nephrology / Urology; Cardiology; Clinical Genetics,nervous_system:18; genitourinary_system:12; cardiovascular_system:10; endocrine_metabolic_system:10; skeletal_system:10; digestive_system:9; development_and_growth:9; eye:7; integument:5; respiratory_system:5; immune_connective_tissue:4; ear:3; blood_system:1; neoplasm:1,18,104,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:614388,"Encephalopathy, lethal, due to defective mitochondrial peroxisomal fission 1",Neurology,Endocrinology / Metabolic Medicine; Clinical Genetics,nervous_system:55; endocrine_metabolic_system:21; cardiovascular_system:9; eye:7; digestive_system:5; respiratory_system:5; skeletal_system:4; integument:3; development_and_growth:3; immune_connective_tissue:1; ear:1; blood_system:1; genitourinary_system:1,55,116,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:621185,Houge-Janssens syndrome 4,Neurology,Clinical Genetics,nervous_system:53; eye:13; skeletal_system:8; integument:7; digestive_system:6; genitourinary_system:5; endocrine_metabolic_system:4; development_and_growth:4; immune_connective_tissue:3; neoplasm:3; cardiovascular_system:2; ear:1; blood_system:1,53,110,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:621344,Dursun-Ozgul neurodevelopmental syndrome,Neurology,Clinical Genetics,nervous_system:51; skeletal_system:11; eye:7; integument:4; endocrine_metabolic_system:4; development_and_growth:4; immune_connective_tissue:3; digestive_system:3; ear:2; genitourinary_system:1; respiratory_system:1,51,91,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:602535,Marshall-Smith syndrome,Orthopedics,Neurology; Dermatology; Clinical Genetics,skeletal_system:30; nervous_system:18; integument:8; respiratory_system:8; cardiovascular_system:7; eye:7; immune_connective_tissue:5; ear:5; digestive_system:5; development_and_growth:4; genitourinary_system:2; neoplasm:1,30,100,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:616900,"Hypotonia, infantile, with psychomotor retardation and characteristic facies 3",Neurology,Orthopedics; Ophthalmology; Clinical Genetics,nervous_system:35; skeletal_system:20; eye:10; integument:5; endocrine_metabolic_system:5; development_and_growth:4; digestive_system:3; ear:2; genitourinary_system:2; cardiovascular_system:1; immune_connective_tissue:1; respiratory_system:1,35,89,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:619472,VISS syndrome,Cardiology,Orthopedics; Gastroenterology / Hepatology; Clinical Genetics,cardiovascular_system:25; skeletal_system:21; digestive_system:13; immune_connective_tissue:12; integument:9; nervous_system:9; eye:8; blood_system:6; respiratory_system:6; ear:5; endocrine_metabolic_system:4; development_and_growth:4; genitourinary_system:1; neoplasm:1,25,124,moderate,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:615471,Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type),Neurology,Endocrinology / Metabolic Medicine; Cardiology; Clinical Genetics,nervous_system:29; endocrine_metabolic_system:18; cardiovascular_system:10; genitourinary_system:8; skeletal_system:8; digestive_system:7; eye:7; immune_connective_tissue:6; development_and_growth:6; blood_system:4; integument:3; ear:3; respiratory_system:1,29,110,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:309350,Melnick-Needles syndrome,Orthopedics,Cardiology; Clinical Genetics,skeletal_system:37; cardiovascular_system:10; immune_connective_tissue:9; integument:9; digestive_system:7; ear:6; development_and_growth:5; respiratory_system:5; eye:4; genitourinary_system:3; nervous_system:3; endocrine_metabolic_system:1,37,99,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
